CH "NA" "NA" Sterols
FA "NA" "NA" FA
GL "NA" "NA" DAG
GL "NA" "NA" TAG
GPL "NA" "NA" BMP
GPL "NA" "NA" PA
GPL "NA" "NA" PC
GPL "NA" "NA" PE
GPL "NA" "NA" PG
GPL "NA" "NA" PG/BMP
GPL "NA" "NA" PI
GPL "NA" "NA" PIPs
GPL "NA" "NA" PS
SPH "NA" "NA" Cer
SPH "NA" "NA" CerP
SPH "NA" "NA" Hex2Cer
SPH "NA" "NA" Hex2CerOH
SPH "NA" "NA" HexCer
SPH "NA" "NA" HexCerOH
SPH "NA" "NA" SHexCer
SPH "NA" "NA" SM
VIT "NA" "NA" VA
VIT "NA" "NA" VE
